,Image,Title,Directors,Rating,Description,Genre
6657,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Street Dance, Jon M. Chu ,6.2,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,Romance
6658,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Midnight Special, Jeff Nichols ,6.6,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Drama
6659,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Midnight Special, Jeff Nichols ,6.6,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Sci-Fi
6660,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Midnight Special, Jeff Nichols ,6.6,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Mystery
6661,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Project Almanac, Dean Israelite ,6.3,"A group of teens discovers secret plans for a time machine, and construct one. However, things start to get out of control.",Drama
6662,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Project Almanac, Dean Israelite ,6.3,"A group of teens discovers secret plans for a time machine, and construct one. However, things start to get out of control.",Sci-Fi
6663,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Project Almanac, Dean Israelite ,6.3,"A group of teens discovers secret plans for a time machine, and construct one. However, things start to get out of control.",Mystery
6664,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Más allá de la vida, Clint Eastwood ,6.5,"A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.",Drama
6665,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Más allá de la vida, Clint Eastwood ,6.5,"A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.",Fantasy
6666,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Más allá de la vida, Clint Eastwood ,6.5,"A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.",Romance
6667,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mi padre y mi hijo, Çagan Irmak ,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Drama
6668,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mi padre y mi hijo, Çagan Irmak ,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Family
6669,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Biutiful, Alejandro G. Iñárritu ,7.4,A man dying of cancer tries his best to leave the world on his own terms.,Drama
6670,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Biutiful, Alejandro G. Iñárritu ,7.4,A man dying of cancer tries his best to leave the world on his own terms.,Romance
6671,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,"Swades: We, the People", Ashutosh Gowariker ,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Drama
6672,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,"Swades: We, the People", Ashutosh Gowariker ,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Music
6673,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,"Primavera, verano, otoño, invierno... y primavera", Kim Ki-duk ,8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Drama
6674,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,"Primavera, verano, otoño, invierno... y primavera", Kim Ki-duk ,8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Romance
6675,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Lagaan: Érase una vez en la India, Ashutosh Gowariker ,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Drama
6676,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Lagaan: Érase una vez en la India, Ashutosh Gowariker ,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Sports
